Questionnaire Name,Account Number,Account Name,Country,CDP Region,ParentSection,Section,Question Number,Question Name,Row Number,Water security risk drivers,Anticipated timescale,Estimated magnitude of potential impact,Estimated probability of impact,Risk description
Cities 2021,42384,Göteborgs stad,Sweden,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,4,"Other, please specify: Long term rising sea level",Long-term (after 2050),Serious,Medium-high,
Cities 2021,42384,Göteborgs stad,Sweden,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,5,Pollution incidents,Short-term (by 2025),Serious,Medium,Chemical substanses as PFAS from fire fighting/excercises
Cities 2021,42384,Göteborgs stad,Sweden,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,6,Inadequate or ageing water supply infrastructure,Medium-term (by 2050),Extremely serious,Medium,
Cities 2021,42388,Intendencia de Montevideo,Uruguay,Latin America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Increased water stress,Short-term (by 2025),Serious,High,"La ciudad depende de una sola fuente de agua,  que se comporta con varios departamentos, Se está trabajando a nivel de cuenca para su protección. Actualmente se elabora un plan de manejo integral del Rio Santa Lucía"
Cities 2021,43905,"City of San Antonio, TX",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Drought,Medium-term (by 2050),Serious,Medium-high,"Currently have very diversified sources of water.  However, increased extreme heat and drought may impact water security."
Cities 2021,43905,"City of San Antonio, TX",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,2,Increased water demand,Long-term (after 2050),Serious,Medium-low,San Antonio's population is expected to increase by 1 million people by 2040.
Cities 2021,43907,"City of Indianapolis, IN",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Increased water stress,Short-term (by 2025),Serious,Medium-high,"A report by the Indiana Chamber of Commerce revealed that even without the effects of climate change the state, and specifically the central Indiana region (i.e. Indianapolis) will be likely to have severe water shortage problems by 2030. http://share.indianachamber.com/media/WaterStudyReport2014LoRes.pdf"
Cities 2021,43907,"City of Indianapolis, IN",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,2,Inadequate or ageing water supply infrastructure,Current,Serious,Medium-high,"The City of Indianapolis covers 400 square miles, and the average age of the water and storm water infrastructure has been steadily climbing for years. The City recently increased the storm water fee to help address the backlog of aged storm water infrastructure. The drinking water system is facing a similar problem."
Cities 2021,43907,"City of Indianapolis, IN",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,3,Declining water quality,Short-term (by 2025),Serious,Medium-high,"Due to an older downtown within the city, there are combined sewer overflows (CSO) that drain into the rivers running through the city. A substantial portion of the drinking water is pulled from rivers and surface waters, meaning increased storm events will increase the chance of contamination. As the utility shifts to more groundwater sources, it will further stress the increasingly limited resource."
Cities 2021,43907,"City of Indianapolis, IN",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,4,Severe weather events,Medium-term (by 2050),Less Serious,Medium-low,"Group’s DigIndy Tunnel System web page states“up to 97% percent” of “combined sewer overflows” will be mitigated at the conclusion of the tunnel's construction, which is expected in 2025."
Cities 2021,43908,"City of Milwaukee, WI",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,43909,"City of Orlando, FL",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Increased water stress,Current,Serious,High,"The Central Florida Water Initiative rules were ratified in 2021 capping OUC’s groundwater supply in 2033 at 90.77 mgd, when its estimatedwater demand is estimated to be 104.03 mgd, and in 2043 at 86.77 mgd, whenits water demand is estimated to be 113.23 mgd."
Cities 2021,43909,"City of Orlando, FL",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,2,Higher water prices,Current,Serious,High,
Cities 2021,43909,"City of Orlando, FL",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,3,Declining water quality,Current,Serious,Medium,
Cities 2021,43910,"City of Columbus, OH",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Declining water quality,Medium-term (by 2050),Serious,Medium,"Increased nutrient/pesticide/ herbicide load due to extended growing season, increased algal blooms. Increased watershed and stream bank erosion.Increased organics, nutrients, turbidity, sediment, and other pollutant loads."
Cities 2021,43910,"City of Columbus, OH",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,2,Higher water prices,Medium-term (by 2050),Serious,Medium,"Anticipated increases in population and development will, no doubt,  lead to increased cost for utility services (water, wastewater)."
Cities 2021,43910,"City of Columbus, OH",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,3,Severe weather events,Long-term (after 2050),Serious,Medium-high,Increased insurance costs; Increased damages due to floods/storms. Increased flood damage to private property and infrastructure. Increased food costs due to decreased agricultural production (crop loss).
Cities 2021,43910,"City of Columbus, OH",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,4,Drought,Long-term (after 2050),,Medium,The City of Columbus has a drought management plan in place in the event of drought conditions.  It is a staged plan.
Cities 2021,43910,"City of Columbus, OH",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,5,Increased water demand,Long-term (after 2050),Serious,Medium,"The City of Columbus and the Central Ohio region are expected to add population significantly in the coming years and decades.According to the Mid-Ohio Regional Planning Commission (MORPC), the City of Columbus achieved a significant milestone in 2018, surpassing 900,000 residents for the first time. The region’s largest city added nearly 22,000 residents over the past year, a full fifty percent of the regional total.the region’s total population is now estimated to be 2.4 million people, according to MORPC.This increasing population and the development pressures that accompany it will, no doubt, create more demand for water in Columbus."
Cities 2021,43910,"City of Columbus, OH",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,6,Change in land-use,Long-term (after 2050),Serious,Medium,"Changes in the use of land, because of added increases in population and development pressures,  could impact water sources.For example, while agriculture use of land in some areas of the City of Columbus and Franklin County poses risks to water including the impact of the use of manure and the condition of drainage, changes to more urban land uses also poses risks such as the use of certain materials in snow removal, aging stormwater  systems and other issues."
Cities 2021,43910,"City of Columbus, OH",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,7,Inadequate or ageing water supply infrastructure,Medium-term (by 2050),Serious,Medium-high,"As the City of Columbus continues to grow, water infrastructure may prove to be inadequate or obsolete, requiring replacement or, at minimum, updates."
Cities 2021,43911,"City of Ottawa, ON",Canada,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,0,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,43912,"City of Edmonton, AB",Canada,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Increased water stress,Long-term (after 2050),Extremely serious,Do not know,"The City of Edmonton sources all water from the North Saskatchewan River, and has no identified back up source of water supply. There is no evidence that water supply is a risk in the short term, but further investigation of Edmonton's water supply is needed. Given Edmonton's regional importance to the supply of potable water, the impact of reduced flows of water in the North Saskatchewan would be extremely serious."
Cities 2021,43912,"City of Edmonton, AB",Canada,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,2,Drought,Current,Less Serious,Medium-high,"It is critical to consider the availability of water in the NSR in the future under a changing climate. The impacts of climate change to water resources in Alberta include predictions of increased precipitation, increased precipitation falling as rain (as opposed to snow), decreased snow pack, earlier and increased spring runoff, increased evaporation and reduced summer flows (Sauchyn and Kulshreshtha 2008, Kienzle et al. 2012, Golder 2008b). Other climate change projections, including models and trend analysis, include declining lake levels and summer stream flows, receding glaciers, and greater departures from mean hydrometric conditions (Schindler and Donahue 2006)."
Cities 2021,43912,"City of Edmonton, AB",Canada,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,3,Inadequate or ageing water supply infrastructure,Short-term (by 2025),Serious,High,Two of Edmonton's water and wastewater treatment facilities reside within the river valley and may be damaged due to river flooding.
Cities 2021,43914,"City of Charlotte, NC",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,0,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,43917,Obshtina Sofia,Bulgaria,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Increased water stress,Long-term (after 2050),Serious,Medium,The population of the city is constantly increasing and the main water sources are surface that are more vulnerable of climate change.
Cities 2021,43917,Obshtina Sofia,Bulgaria,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,2,Drought,Long-term (after 2050),Serious,,Sofia is using surface water and in this regard there is a higher risks for water supply security. are likely in regions
Cities 2021,43920,Mestna občina Ljubljana,Slovenia,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Change in land-use,Medium-term (by 2050),Less Serious,Low,"The City of Ljubljana has several water protection areas (hereinafter: WPA). The most important for Ljubljana is the WPA of the Ljubljana field, from which it receives the predominant amount of drinking water.Restrictions in agriculture depend on the area within which the agricultural land is located within the WPA aquifer. The Decree on the water protection area for the water body of the Ljubljansko polje aquifer defines four areas with sub-areas (names of the areas in the link below).Restrictions and prohibitions in agriculture are different for inland areas. In the field of fertilizer use, it should be emphasized that fertilization without a fertilization plan on the WPA is prohibited. In practice, this means that farmers must have a fertilization plan based on soil analysis, as this is the basis for environmentally friendly fertilization.The link: https://www.ljubljana.si/sl/moja-ljubljana/podezelje/kmetijstvo-in-gozdarstvo/vodovarstvena-obmocja/"
Cities 2021,43921,Grad Zagreb,Croatia,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,0,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,43926,Stadt Mannheim,Germany,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Higher water prices,Current,,,
Cities 2021,43930,Gemeente Den Haag,Netherlands,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Increased water stress,Medium-term (by 2050),Serious,Low,"Additional 100,000 households in the region in the next 15 years (+10-20%)"
Cities 2021,43930,Gemeente Den Haag,Netherlands,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,2,Declining water quality,Long-term (after 2050),Serious,Low,"Mainly herbicides, hormones, pesticides, POP's, PFO's and other difficult to remove substances."
Cities 2021,43932,Auckland Council,New Zealand,Southeast Asia and Oceania,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Increased water stress,Medium-term (by 2050),Serious,Medium-high,"Auckland faces unprecedented pressures from population growth, which coupled with increased frequency and severity of weather events will put significant pressure on water supply and quality within the region."
Cities 2021,43932,Auckland Council,New Zealand,Southeast Asia and Oceania,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,2,Severe weather events,Current,Serious,Medium-high,"As detailed in the Climate Hazards and Vulnerability, and Adaptation sections, flooding is a major risk to the region, whether surface, groundwater or coastal.  An unprecedented series of storm events in Auckland in March and April 2017 caused significant slips in the water catchments, bringing the turbidity of water in most water supply dams to 100 to 8,000 times their normal levels. This affected Auckland’s water supply significantly and for the first time in 23 years, Aucklanders were asked to reduce their water consumption. The crisis was managed without mandatory restrictions or damage to the infrastructure, thanks to the overwhelming positive community response to the water savings campaign. At Watercare, this event triggered work on system resilience and climate change strategy. The national climate and weather experts have called these storm events “off the chart”, well beyond the 1 in 100 year storm events the water systems have been designed for."
Cities 2021,43932,Auckland Council,New Zealand,Southeast Asia and Oceania,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,3,Inadequate or ageing water supply infrastructure,Medium-term (by 2050),Serious,Medium-high,"Although current water supply, wastewater and stormwater infrastructure is currently adequate, recent events have highlighted that increased severity and frequency of downpours in the region will put pressure on infrastructure and result in some failures."
Cities 2021,43932,Auckland Council,New Zealand,Southeast Asia and Oceania,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,4,Drought,Current,Serious,Medium-high,"Drought will cause risks to our water security. Since the start of 2020, the region has received significantly less rainfall than normal. This is having a big impact on our water supply. On 15th April, the total volume of water stored in our dams dropped below 50 per cent for the first time in more than 25 years. In response to one of the most severe droughts in Auckland’s history, mandatory water restrictions came into effect across the region from 16 May 2020. The restrictions are still in place, with adjustments. From 12 October 2020, commercial water users can use water for some activities. From 14 December 2020, residents can use water blasting devices and hand-held hoses so long as they are fitted with trigger nozzles."
Cities 2021,43937,Wellington City Council,New Zealand,Southeast Asia and Oceania,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Increased water stress,Medium-term (by 2050),Serious,Medium,"Wellington City suffers from a dual risk when it comes to water scarcity. Past summer droughts have brought water supplies to as low as 7 days of remaining supply, with the risk of worse droughts magnifying this. Additionally, water provides the vast majority of New Zealand's renewable power. If droughts affect the water supply to our hydro lakes and limit our energy capacity, whilst fossil energy becomes even more expensive, this will drastically limit our ability to be sustainable."
Cities 2021,43937,Wellington City Council,New Zealand,Southeast Asia and Oceania,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,2,Inadequate or ageing water supply infrastructure,Current,Serious,High,"Wellington has a significant problem with aging water infrastructure. The problem presents itself in two ways - firstly the existing infrastructure is of unknown quality and some eras of pipe have a tendency to fail early and unexpectedly. This is magnified by the risks from earthquakes, which significantly increase leakage in a shaky place like Wellington. As sea level rise increasingly affects stormwater and wastewater systems, it is unknown how it will affect the water supply in a coastal city like Wellington."
Cities 2021,43937,Wellington City Council,New Zealand,Southeast Asia and Oceania,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,3,Change in land-use,Current,Serious,Medium-high,"Wellington is a coastal city. Though it has no rivers it has numerous streams - and many of those streams are beneath some of our most important roads in pipes. As the sea rises unexpected influences on those underground streams could result in flooding or destructive inundation. Additionally, the stormwater network is already finding itself overtaxed with rising seas, as assets become hydraulically locked when flooding is combined with high tide."
Cities 2021,43938,"The Executive Council, Govt of Dubai",United Arab Emirates,Middle East,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Severe weather events,Long-term (after 2050),Serious,Medium-low,"Water supply in Dubai is mostly desalinated water. There are risks to the desalination plant in the face of increased sea level, storm surges and seawater acidification.Dubai Electricity and Water Authority is currently undertaking a climate change risk assessment specific for its assets and services which will further determine the nature and likelihood of climate change risks on its services and assets."
Cities 2021,43938,"The Executive Council, Govt of Dubai",United Arab Emirates,Middle East,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,2,Increased water stress,Long-term (after 2050),Serious,Medium,"Water supply in Dubai is mostly desalinated water. Therefore, the risks are related to the water security and sustainable water supply. Dubai is conducting an optimization study to seek operational efficiency of wastewater treatment plants where reclaimed water can be used for district cooling purposes and landscaping.There is specific stress on groundwater resources from the farming sector. Dubai's Integrated Water Management Strategy has identified mitigation measures to reduce water demand from the farming sector. These are under implementation."
Cities 2021,43940,Malmö stad,Sweden,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Declining water quality,Long-term (after 2050),Less Serious,Low,"In a warmer climate, the risks of external contamination increase as a result of floods, intense rain and drought. The risk of infection also increases in the later parts of the water supply chain. At higher water temperatures, it will probably be easier for different pathogens to grow, which will require a more extensive purification of the raw water. Warmer summers can also cause new waterborne, pathogenic microorganisms to establish themselves in Malmö's water sources. the water plants producing Malmö’s drinking water have diffrent combinatins of the following treatment steps: Aeration, filtration, softening, UV, infiltrated surface water, chlorination, chemical precipitation, sedimentation. The concentrations of chlorine used in Sweden basically do not work on parasites and have little efficiency on viruses. Other disinfectants are also present, such as UV light which can reduce parasites, and ozone, however, is not effective against all microorganisms. However, since the timescale is long-term, there will be time to adapt the purification process to these changes."
Cities 2021,43940,Malmö stad,Sweden,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,2,Energy supply issues,Short-term (by 2025),Less Serious,Low,"The supply of electricity is a very important prerequisite for being able to clean and distribute drinking water. Electric power is needed at everything from groundwater pumps, surface water intake and purification equipment in the waterworks to the pipeline network's pressure boosting stations. Sewer pipes and water pipes are usually co-fired, usually with the sewer line at the bottom. At high groundwater levels, leaking sewage water can penetrate into the water pipe if the water pipe is pressureless. This can happen if the power supply is simultaneously disabled. Electricity supply and spare parts are therefore an important prerequisite for safe drinking water distribution. Problems with the power supply during thunderstorms are common already today and there is a risk in the future to steer control and control systems to a greater extent.The plants that supply Malmö with water are equipped with backup power, and are planning to build solar panels for additional backup, so for short-time power failure there shouldn't be a problem. However, in the event of a prolonged loss of electricity, water distribution is affected just like the rest of society."
Cities 2021,43940,Malmö stad,Sweden,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,3,Drought,Short-term (by 2025),Serious,Medium-low,"There are many stakeholders who are users of surface and groundwater, whose conditions (water requirements and access to water) will be affected by a changed climate. Purpose for water use in addition to drinking water is, for example, industry, energy and irrigation. Conflicts of interest regarding surface water resources can occur when there is low water flow during the summer season in combination with drought. If too much water is taken out at these times, damage to the ecosystem may occur. The ecosystems that may be damaged are located outside the city of Malmö, since our water sources are located outside of thecity borders."
Cities 2021,43940,Malmö stad,Sweden,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,4,Higher water prices,,Less Serious,Low,"All of the security risks above could potentially lead to higher water prices. They should not be high enough to have a significant impact on private, but potentially for sectors that use large amounts of water. Higher water prices could be an incencitive for water conservation measures."
Cities 2021,43969,Ciudad de Asunción,Paraguay,Latin America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Increased water stress,Long-term (after 2050),Less Serious,,AUMENTO POBLACIONAL QUE INCREMENTE LA DEMANDA DE CONSUMO DE AGUA
Cities 2021,43969,Ciudad de Asunción,Paraguay,Latin America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,2,Declining water quality,Current,Serious,,
Cities 2021,43969,Ciudad de Asunción,Paraguay,Latin America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,3,Inadequate or ageing water supply infrastructure,Current,Serious,,
Cities 2021,43970,Alcaldía Distrital de Barranquilla,Colombia,Latin America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,43975,Municipalidad de Magdalena del Mar,Peru,Latin America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Increased water scarcity,Current,Less Serious,,"El distrito de magdalena del Mar se ve afectado por la escasez de agua, debido a las afectaciones por el cambio climático, las fuentes de agua de ven escaseadas y el servicio de agua potable también se ve afectado por la falta de medidas sostenibles a futuro es un problema grave"
Cities 2021,44077,Kampala City,Uganda,Africa,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Declining water quality,Current,Serious,,The risk is due to high rates of industrial waste water and sewerage discharge into the water system that is affecting water quality
Cities 2021,44080,City of Kitakyushu,Japan,East Asia,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,0,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,44081,Lusaka City Council,Zambia,Africa,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Increased water scarcity,Current,Serious,Medium,70% of the city resides in informal settlements  and  these lack  basic services such as water and sanitation.
Cities 2021,44081,Lusaka City Council,Zambia,Africa,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,2,Energy supply issues,Short-term (by 2025),Serious,Medium,Lusaka has not been exempted from the effects of climate change and  it has experienced  droughts and this causes  extreme load and water shedding
Cities 2021,44081,Lusaka City Council,Zambia,Africa,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,3,Inadequate or ageing water supply infrastructure,Current,Extremely serious,High,the city only has one water utility company which as old infrastructure  and this infrastructure   has leakages
Cities 2021,44081,Lusaka City Council,Zambia,Africa,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,4,Unauthorised/unregistered water connections,Current,Serious,Medium,
Cities 2021,44081,Lusaka City Council,Zambia,Africa,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,5,Pollution incidents,Current,Extremely serious,High,lack of proper   sanitation infrastructure and fecal sludge management
Cities 2021,44081,Lusaka City Council,Zambia,Africa,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,6,Increased water demand,Current,Extremely serious,High,only have one water utility and now the people are sinking wells
Cities 2021,44081,Lusaka City Council,Zambia,Africa,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,7,Declining water quality,Long-term (after 2050),Serious,High,70 % of the  city lives in informal settlements and most  of them dont have basic serivices  such as flashable toilets . even those in formal settlements . Alot of them use pit latrines  this poses a  great treat to underground water
Cities 2021,44081,Lusaka City Council,Zambia,Africa,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,8,Drought,Long-term (after 2050),Serious,High,droughts are likely to occur  and this may cause water related diseases
Cities 2021,44081,Lusaka City Council,Zambia,Africa,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,9,Unauthorised/unregistered water connections,Current,Extremely serious,High,most of the people living in peri urabn  have anthorised connections and this  has possed a health treat becasue the water is not treated
Cities 2021,44081,Lusaka City Council,Zambia,Africa,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,10,Severe weather events,Long-term (after 2050),Serious,High,the city is likely to experience  droughts or floods and this has a huge impact of the livelihood of the residents and  may cause high diseasee burden
Cities 2021,44081,Lusaka City Council,Zambia,Africa,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,11,Declining water quality,Long-term (after 2050),Serious,High,70 % of the  city lives in informal settlements and most  of them dont have basic serivices  such as flashable toilets . even those in formal settlements . Alot of them use pit latrines  this poses a  great treat to underground water
Cities 2021,44081,Lusaka City Council,Zambia,Africa,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,12,Drought,Long-term (after 2050),Serious,High,droughts are likely to occur  and this may cause water related diseases
Cities 2021,44081,Lusaka City Council,Zambia,Africa,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,13,Unauthorised/unregistered water connections,Current,Extremely serious,High,most of the people living in peri urabn  have anthorised connections and this  has possed a health treat becasue the water is not treated
Cities 2021,44081,Lusaka City Council,Zambia,Africa,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,14,Severe weather events,Long-term (after 2050),Serious,High,the city is likely to experience  droughts or floods and this has a huge impact of the livelihood of the residents and  may cause high diseasee burden
Cities 2021,44180,Daegu Metropolitan City,Republic of Korea,East Asia,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Declining water quality,Medium-term (by 2050),Extremely serious,High,"An industrial complex is located upstream before the water intake facility, which acts as a risk factor."
Cities 2021,44184,Ulsan Metropolitan City,Republic of Korea,East Asia,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,0,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,44185,Suwon City,Republic of Korea,East Asia,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Increased water stress,Medium-term (by 2050),Serious,Medium-high,"There is a risk that the river will run dry or the groundwater level will go down when extreme droughts occur. There is a possibility that water quality contamination of reservoirs and rivers due to abnormal temperatures may be increased. It is in urgent need to secure emergency water when a problem occurs in water supply accidents or in the supply of waterworks including the occurrence of cyanobacteria in the Paldang Lake, which is a major drinking water source."
Cities 2021,44187,Goyang City,Republic of Korea,East Asia,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,0,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,44191,Ansan City,Republic of Korea,East Asia,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Increased water stress,Medium-term (by 2050),Serious,Medium-high,
Cities 2021,44191,Ansan City,Republic of Korea,East Asia,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,2,Increased water scarcity,Medium-term (by 2050),Serious,Medium-high,
Cities 2021,44191,Ansan City,Republic of Korea,East Asia,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,3,Inadequate or ageing water supply infrastructure,Short-term (by 2025),Serious,Medium,
Cities 2021,44196,Hwaseong City,Republic of Korea,East Asia,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,0,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,44205,Gwangmyeong City,Republic of Korea,East Asia,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,0,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,44210,Yeosu City,Republic of Korea,East Asia,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Drought,Short-term (by 2025),Serious,Medium,
Cities 2021,44210,Yeosu City,Republic of Korea,East Asia,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,2,Increased water scarcity,Short-term (by 2025),Serious,Medium,
Cities 2021,44210,Yeosu City,Republic of Korea,East Asia,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,3,Declining water quality,Short-term (by 2025),Serious,Medium,
Cities 2021,44210,Yeosu City,Republic of Korea,East Asia,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,4,Inadequate or ageing water supply infrastructure,Short-term (by 2025),Serious,Medium-low,
Cities 2021,44210,Yeosu City,Republic of Korea,East Asia,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,5,Ecosystem vulnerability,Short-term (by 2025),Less Serious,Medium,
