,Year,State,City,Water security risk drivers,Estimated magnitude of potential impact,Risk description
33,2018,CA,Piedmont,Increased water stress or scarcity,Less serious,"California has been experiencing historic levels of drought and while 2015/2016 was an El Nino year that helped alleviate some of the previous years of dryness, it looks like water shortage will be very common throughout the coming years. Although, the drought was officially declared over in 2017."
40,2018,NC,Durham,Inadequate or ageing water supply infrastructure,Serious,We have very old pipes and one of our water treatment plants is 100 years old
42,2018,WI,La Crosse,Inadequate or ageing water supply infrastructure,Serious,"Aging water, sewer, storm water pipes"
43,2018,LA,Gretna,Inadequate or ageing water supply infrastructure,Extremely serious,The majority of water/wastewater and stormwater infrastructure within the City was constructed in the 1930s and is at or near the end of its useful life.
44,2018,LA,Gretna,Declining water quality,Serious,"Nutrient/pollutant loading on the MS River from agricultural, petrochemical and urban stormwater runoff contributes to continued water quality issues on the MS River."
47,2018,NM,Santa Fe County,Increased water stress or scarcity,Serious,25-33% reduction in surface water supplies from T increases
48,2018,NM,Santa Fe County,Increased water demand,Serious,Water use will increase 10-30% with increased aridity and temperatures.
2,2017,FL,Miami Beach,Increased water stress or scarcity,Serious,Flooding has been one of the main issues that our City is dealing with. The combination of salt water intrusion and rising seas has made this issue quite predominant.
3,2017,PA,Abington ,Declining water quality,Less serious,Unknown as this has not been formally assessed in a climate mitigation plan.
4,2017,PA,Lancaster,Flooding,Extremely serious,Severe drought has placed water restrictions on our community. There is a de facto moratorium on most new buildings.
5,2017,PA,Pittsburgh,Flooding,Serious,"Pittsburgh struggles with combined sewer overflows, and a tenth of an inch of rain releases raw sewage into the rivers. There are also aging railroad tracks along all of the rivers with trains carrying hazardous and toxic materials. If a train derails, it could contaminate the water"
6,2017,PA,Lancaster,Higher water prices,Serious,"Oil/gas spills, fracking fluids, development around the Susquehanna River Water Basin."
9,2017,PA,Lancaster,Increased water stress or scarcity,Less serious,"High maintenance, collapsing pipes, frequent flushing."
10,2017,PA,Pittsburgh,Increased water stress or scarcity,Serious,"Pittsburgh's geography and impervious surfaces have caused fatal flash floods. River flooding is controlled by the aging lock and dam system, and a failure to an upstream lock and dam would flood downtown."
11,2017,CO,Boulder,Declining water quality,Serious,The water treatment facility is susceptible to power outages that could affect water management.
12,2017,CO,Vail,Declining water quality,Extremely serious,Listed 303(d) river and many in similar mountain resort communities and urban areas.
13,2017,OH,Cleveland,Declining water quality,Serious,"In Cleveland, we have not only witnessed increased precipitation over the last few decades, but also heavier rains. Under the higher-emissions scenario, Ohio’s spring rainfall is projected to increase almost 15 percent over the next several decades and about 30 percent toward the end of the century. This may lead to more flooding, delays in the planting of spring crops, and declining water quality in rivers, streams, and storage reservoirs."
14,2017,OH,Cleveland,Increased water stress or scarcity,Serious,"Stormwater is a challenge for urban areas and parks in Cleveland. The 22,000-acre Emerald Necklace surrounding the metro area has become the region’s catch-basin for storm water runoff. Not only does this cause considerable damages to park properties, the runoff is also accelerating the erosion of hundreds of miles of waterways within the parks system, flushing around 45,000 tons of silt out into Lake Erie each year. Erosion-control problems can be found in at least 13 of the 17 reservations that make up the park system. At the same time, Greater Cleveland's earliest sewers (primarily within the city and its inner-ring suburbs) are combined sewers. Built around the turn of the 19th century, these sewers carry sewage, industrial waste, and stormwater in a single pipe. When heavy rain events occur, control devices may allow some of the flow (a combination of stormwater and sewage) to overflow into area waterways to prevent urban flooding and damage to wastewater treatment facilities. These events, or combined sewer overflows (CSOs), have resulted in a consent decree with the EPA."
15,2017,NV,Las Vegas,Declining water quality,Less serious,"Water costs are higher due to infrastructure charges used to pay for new water projects, such as the third intake at Lake Mead. Even with conservation efforts, water costs have increased."
16,2017,NV,Las Vegas,Flooding,Less serious,"Water restrictions have led to more conservation; however, if Lake Mead continues to decline, a Federally mandated cut in Southern Nevada's water allocation may occur, and nearly did during the 2015-2016."
17,2017,NV,Las Vegas,Increased water stress or scarcity,Serious,"Lake Mead, which is 90% of Southern Nevada's supply,  is currently less than 50% of capacity, and continues to decline. Southern Nevada Water Authority officials have also been studying and have water rights in Eastern Nevada and will develop a groundwater importation project (pipeline) in the event water levels continue to decline."
18,2017,CA,Oakland,Declining water quality,Serious,"The City's water utility has no tiered pricing, a strategy that could be pivotal for conserving water. The State of California also has antiquated water right laws that allow for excessive water use."
19,2017,CA,Oakland,Flooding,Serious,"The City’s utility, East Bay Municipal Utility District declared a stage 4 drought. Temporary drought surcharges of up to 25% on water flow charges and excessive water use penalty went into effect in 2015. Both regulations were lifted in 2016."
20,2017,CA,West Hollywood,Flooding,Serious,"California is recovering from an unprecedented drought, and water resources are increasingly scarce at a regional scale.  Increased efforts to conserve and reuse water will be necessary in the coming years.  West Hollywood receives water from the Los Angeles Department of Water and Power as well as from Beverly Hills Water."
21,2017,CA,Benicia,Higher water prices,Extremely serious,See above.
22,2017,CA,Hayward,Higher water prices,Serious,Prices have increased due to drought.
26,2017,CA,Oakland,Inadequate or ageing water supply infrastructure,Extremely serious,"The City's water supplier, East Bay Municipal Utility District (EBMUD) has a degrading infrastructure. Much of the pipelines used to deliver water are decades old. EBMUD may hike up water rates to pay for capital investments."
27,2017,CA,Palo Alto,Inadequate or ageing water supply infrastructure,Serious,Serious concern in localized portions of city from creek flooding and from sea level rise
28,2017,CA,Emeryville,Increased water stress or scarcity,Serious,Drought risk already impending
29,2017,CA,Benicia,Increased water stress or scarcity,Extremely serious,"The State Water Project (SWP) has historically supplied 75% to 85% of the City's water from the Sacramento - San Joaquin Delta and the Solano Project (SP) has historically supplied 15% to 25% of the City's water from Lake Berryessa. Lake Herman has historically been used as an emergency water supply and temporary storage reservoir.  The City has 3,100 acre-feet of reliable water supply and has purchased water from various agencies when needed. Allocations of water from the SWP have varied from 5% to 65%. When the allocation exceeded 35%, then the City had adequate water supply. Some of the SWP and SP water that is allocated and not used can be carried over or ""banked"" for use in future years. Approximately 10,000 acre-feet of water has been ""banked"" in Lake Berryessa for use during a drought.  Reservoir storage is low - Lake Oroville is at 66% of Historical Average; Lake Berryessa is at lowest in 22 years, 76% of average."
30,2017,CA,Hayward,Increased water stress or scarcity,Extremely serious,"Statewide drought. Although California experienced record precipitation during the winter of 2016-2017, the repercussions of the State's multi-year drought will continue to impact water resources in the future."
31,2017,CA,Oakland,Increased water stress or scarcity,Extremely serious,"The state of California is recovering from a serious four year drought, which required exceptional water conservation measures to address the impacts of a limited snowpack and unsustainably depleted groundwater supply. As a result of the drought, communities were left with limited access to water and forest and land fires increased in frequency and severity."
32,2017,CA,Richmond,Increased water stress or scarcity,Extremely serious,"The City’s current potable water supply is highly vulnerable to drought. During extended drought EBMUD’s regional water system may be inadequate to supply Richmond, and may suffer decline in quality. Drought will cause regional water demand likely to spike due to irrigation demand and increased evaporation losses. Secondary impact of elevated fire risk may increase water demand for fire suppression."
33,2017,CA,Richmond,Increased water stress or scarcity,Extremely serious,"The greatest potential impact of sea level rise on local water service will occur in the Sacramento-San Joaquin Delta. Sea level rise will increase salinity in the Delta leading to saline intrusion contaminating deep aquifers that provide current potable water and aquifers that provide emergency potable water. Secondly, during extended drought EBMUD’s regional water system may be inadequate to supply Richmond, and may suffer decline in quality."
35,2017,CA,Piedmont,Increased water stress or scarcity,Serious,"California has been experiencing historic levels of drought and while 2015/2016 was an El Nino year that helped alleviate some of the previous years of dryness, it looks like water shortage will be very common throughout the coming years."
36,2017,CA,Los Angeles,Inadequate or ageing water supply infrastructure,Serious,Deferred maintenance on water system
37,2017,CA,Los Angeles,Increased water stress or scarcity,Extremely serious,Historic drought; although drought recently ended the City anticipates future droughts
38,2017,TN,Nashville and Davidson ,Declining water quality,Serious,Will require significant investment to update to modern infrastructure.
39,2017,TN,Nashville and Davidson ,Increased water stress or scarcity,Less serious,Increasing development and impervious surfaces
40,2017,TN,Nashville and Davidson ,Water losses,Serious,"Volatility currently and into the future threatens homes, businesses, and property within and alongside the floodplain of the Cumberland River and its tributaries."
41,2017,VA,Roanoke,Flooding,Extremely serious,"The waterways in Roanoke are all considered impaired. Restoring riparian areas, addressing stormwater run-off and reducing non-source point pollution is an important focus for the city. The majority of this responsibility falls to the office of Environmental Management and the Stormwater Division."
42,2017,VA,Roanoke,Increased water stress or scarcity,Extremely serious,The Army Corp of Engineers worked with the city to greatly improve capacity of the Roanoke River. Roanoke is highly susceptible to flooding due to its geographic location of the base of a range of mountains. The floodplains are addressed by purchasing endangered properties or flood proofing those that still remain.
43,2017,UT,Salt Lake City,Inadequate or ageing water supply infrastructure,Serious,"More rain, less snow, aging drainage systems, may lead to flooding and impacted water quality. Storm water is not treated prior to entering streams, rivers, and eventually the Great Salt Lake."
44,2017,UT,Salt Lake City,Increased water stress or scarcity,Serious,"More rain, less snow, aging drainage systems."
45,2017,NC,Chapel Hill,Inadequate or ageing water supply infrastructure,Serious,Our region is prone to periodic droughts.
46,2017,IN,Indianapolis,Inadequate or ageing water supply infrastructure,Serious,"The City of Indianapolis covers almost 400 square miles, and the average age of the water and storm water infrastructure has been steadily climbing for years. The City recently increased the storm water fee to help address the backlog of aged storm water infrastructure. The drinking water system is facing a similar problem."
47,2017,NY,Buffalo,Increased water stress or scarcity,Serious,Proper maintenance and Level of service funding
48,2017,NY,Buffalo,Increased water stress or scarcity,Less serious,Lack of acceptance for local prioritization in meeting increased Drinking Water requirements
49,2017,AZ,Tempe,Increased water stress or scarcity,Extremely serious,"As a desert city, water scarcity is already an issue for Tempe. An increase in temperature as well as an increase in population has put extreme water stress on the region."
50,2017,TX,Austin,Increased water stress or scarcity,Extremely serious,"Our primary source of drinking water comes from the Highland Lakes system, which in 2015 was near its lowest levels due to the worst drought on record."
51,2017,TX,Austin,Flooding,Serious,"Central Texas is a flash flood alley and always at risk for urban flooding, which destroys homes and risks lives"
52,2017,DC,Washington,Inadequate or ageing water supply infrastructure,Serious,"The District's Climate Change Vulnerability Assessment reports that the District’s stormwater collection system may be exposed to more extreme and frequent flooding due to the predicted increase in heavy precipitation events, as well as inundation from sea level rise and storm surge. As a result, storm sewers that are at or above capacity may experience more frequent and intense interior flooding. Additionally, the stormwater and combined sewer outfalls that discharge to the Potomac and Anacostia rivers are at low elevations compared to mean sea level. As a result, they will also be susceptible to flooding from sea level rise and storm surge “backing up” through the piped infrastructure which could cause additional flooding in low lying areas."
